Date,OkelTor_E.Coli,OkelTor_Enterococcus,Calstock_E.Coli,Calstock_Enterococcus,,,,,,,,,,,,,,,,,,,,,
16/10/24,8400,3300,6800,3000,,,,,,,,,,,,,,,,,,,,,
23/10/24,140,460,390,310,,,,,,,,,,,,,,,,,,,,,
04/11/24,420,103,520,87,,,,,,,,,,,,,,,,,,,,,
11/11/24,360,87,430,84,,,,,,,,,,,,,,,,,,,,,
18/11/24,200,73,190,68,,,,,,,,,,,,,,,,,,,,,
25/11/24,85,940,800,2100,,,,,,,,,,,,,,,,,,,,,
03/12/24,730,420,610,490,,,,,,,,,,,,,,,,,,,,,
09/12/24,570,112,800,146,,,,,,,,,,,,,,,,,,,,,
18/12/24,520,540,710,510,,,,,,,,,,,,,,,,,,,,,
16/01/25,130,106,63,80,,,,,,,,,,,,,,,,,,,,,
22/01/25,77,77,68,88,,,,,,,,,,,,,,,,,,,,,
31/01/25,200,230,600,270,,,,,,,,,,,,,,,,,,,,,
05/02/25,440,45,520,49,,,,,,,,,,,,,,,,,,,,,
14/02/25,80,79,220,66,,,,,,,,,,,,,,,,,,,,,
20/02/25,730,570,550,750,,,,,,,,,,,,,,,,,,,,,
06/03/25,44,35,150,51,,,,,,,,,,,,,,,,,,,,,
14/03/25,240,57,80,63,,,,,,,,,,,,,,,,,,,,,
24/03/25,83,169,120,137,,,,,,,,,,,,,,,,,,,,,
31/03/25,150,42,160,67,,,,,,,,,,,,,,,,,,,,,
16/04/25,10000,20000,10000,5800,,,,,,,,,,,,,,,,,,,,,
22/04/25,480,69,580,74,,,,,,,,,,,,,,,,,,,,,
30/04/25,450,39,290,78,,,,,,,,,,,,,,,,,,,,,
06/05/25,33,11,33,14,,,,,,,,,,,,,,,,,,,,,
12/05/25,330,280,170,280,,,,,,,,,,,,,,,,,,,,,
19/05/25,190,22,260,39,,,,,,,,,,,,,,,,,,,,,
28/05/25,450,161,570,95,,,,,,,,,,,,,,,,,,,,,
02/06/25,26,36,54,41,,,,,,,,,,,,,,,,,,,,,
13/06/25,2100,2300,2200,1080,,,,,,,,,,,,,,,,,,,,,
